import adsk.core; app=adsk.core.Application.get(); ui=app.userInterface; print('FUSION_COMMAND_CATALOG_BEGIN'); print(chr(10).join([ui.commandDefinitions.item(i).id+chr(9)+ui.commandDefinitions.item(i).name for i in range(ui.commandDefinitions.count)])); print('FUSION_COMMAND_CATALOG_END') 
FUSION_COMMAND_CATALOG_BEGIN
AlertCommand	Alert
FusionSculptEditCommand	Edit Feature 
SurfaceLoft	Loft
FusionSurfaceLoftEditCommand	Edit Feature 
PrimitiveBox	Box
BoxPrimitiveEditCommand	Edit Feature 
SurfPrimitiveBox	Box
PrimitiveCylinder	Cylinder
CylinderPrimitiveEditCommand	Edit Feature 
SurfPrimitiveCylinder	Cylinder
PrimitiveSphere	Sphere
SpherePrimitiveEditCommand	Edit Feature
CoilPrimitiveEditCommand	Edit Feature 
SurfPrimitiveSphere	Sphere
PrimitiveTorus	Torus
TorusPrimitiveEditCommand	Edit Feature 
Torus	Torus
SurfPrimitiveTorus	Torus
SurfTorus	Torus
PrimitiveCoil	Coil
Coil	Coil
SurfPrimitiveCoil	Coil
SurfCoil	Coil
ConnectorObstacleCmd	Connector Obstacle
ConnectorObstacleEditCmd	Edit Feature
PrimitivePipe	Pipe
PipePrimitiveEditCommand	Edit Feature 
SurfPrimitivePipe	Pipe
ThreeDprintCmdDef	3D Print
AutomatedModelingCommand	Automated Modeling
FusionAutomatedModelingEditCommand	Edit Feature 
Box	Box
SurfBox	Box
Cylinder	Cylinder
SurfCylinder	Cylinder
Sphere	Sphere
SurfSphere	Sphere
FusionExtendCommand	Extend
FusionDcSurfaceExtendEditCommand	Edit Feature 
EditFaceCommand	Edit Face
FusionDcFilletEditCommand	Edit Feature 
FusionDcFilletFeatureEditCommand	Edit Feature 
FusionDcSurfaceThickenEditCommand	Edit Feature 
FusionDcChamferEditCommand	Edit Feature 
FusionShowDesignConfigPanelCmd	Display Configuration Table
FusionStartDesignConfigModeCmd	Configure
FusionConfigurationRulesCmd	Create Configuration Rules
ConfigureFeatureCmd	Configure
ConfigureEntityCmd	Configure
ConfigurePropertiesCmd	Configure Properties
DesignConfigurationCmd	Design Configuration
DesignConfigurationActivateRowCmd	Activate Config
FusionAddSDToConfigReplaceColumn	Add Design
FusionRemoveSDFromConfigReplaceColumn	Remove Design
DeleteCustomThemeTableCmd	Delete Theme Table
DeleteAppearanceThemeTableCmd	Delete Appearance Theme Table
ConfigureSuppressionCmd	Configure DC Feature
MoveToNewThemeTableCmd	Move to New Theme Table
MoveToExistingThemeTableCmd	Move to Existing Theme Table
ConfigureFeatureParameterCmd	Configure Feature Parameter
ConfigureFeatureAspectCmd	Configure Feature Aspect
ConfigureVisibilityCmd	Configure Visibility
ConfigureAppearanceCmd	Configure Appearance
ConfigurePhysicalMaterialCmd	Configure Physical Material
ConfigureSheetMetalRuleCmd	Configure Sheet Metal Rule
